"","Allograpta_pulchra","Alloscirtetica_gayi","Apis_mellifera","Arthrobrachus_nigromaculatus","Bombus_dahlbomii","Bombus_ruderatus","Bombus_terrestris","Cadeguala_albopilosa","Centris_cineraria","Centris_nigerrima","Chauliognathus","Corynura_chilensis","Corynura_lepida","Lasia_aenea","Mecopselaphus","Megachile_saulcyi","Ruizantheda_mutabilis","Scaeva_melanostoma","Syrphus_octomaculatus","Tatochila_mercedis"
"Adesmia_conferta",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"Alstroemeria_ligtu",0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
"Amomyrtus_meli",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Chuquiraga_oppositifolia",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"Echinopsis_chiloensis",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Echium_vulgare",0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"Escallonia_myrtoidea",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Escallonia_pulverulenta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eucryphia_cordifolia",1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
"Luma_apiculata",1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Mimulus_luteus",0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
"Myrceugenia_ovata",1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"Myrceugenia_planipes",0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"Phacelia_secunda",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
"Retanilla_trinervia",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"Schizanthus_hookeri",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0
"Senecio_bustillosianus",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
"Stachys_albicaulis",0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0
"Tepualia_stipularis",1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"Viola_portalesia",0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
